Sheet: Cost ($)
Subtotal,Service Items,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total
,DocumentDB - I/O,,,,,,,,0.014769000000000001,,,,,,0.014769000000000001
,DocumentDB - Storage,309.21601635909997,343.2093005358001,386.41482117390007,410.5759400292,423.02894157339995,445.8364494182,467.43043085759996,486.73470566890006,498.26050607379995,424.97850778989994,528.6318615257,782.8631585834999,117.54773203980001,5624.7283716288
,ECR - Data Transfer,0.060710502900000005,,0.0018831981,,,,,,,,0.0000021184,0.0000056808,,0.06260150020000001
,ECR - Storage,1.1269944676,1.080165079,1.0929208951,1.1648989431999999,1.1737347731,1.2031901037999997,1.1469107773000002,0.8972250308999999,0.5141936734999999,0.48853240389999997,0.46900124009999994,0.49137620650000013,0.0568026644,10.9059462584
,EC2 Container Service - Fargate Compute,220.98268138270032,227.54755996489826,208.17278680070078,196.57715768070005,234.99283765909968,198.49689264930038,191.42921935100026,181.37946608229979,183.8680636940997,165.21910319779877,156.59387353480005,203.16086995789823,29.84392614389995,2398.2644380991965
,EC2 Container Service - Fargate Data Transfer,0.25357826899999975,0.22926375890000025,0.23382662719999997,0.2051264083000001,0.2701004209000001,0.28813189749999985,0.2816499065,0.32260328810000005,0.3060239938999997,0.2052060832000001,0.28386158280000034,0.2798360204999995,0.02941406699999998,3.1886223237999993
,EC2 Container Service - Fargate Memory,72.58563788910065,74.76596593420032,68.37299704090015,64.53415025080027,77.1666487867004,65.15022972730009,62.78746735830016,59.45435536510016,60.22677587720024,54.048932828000005,51.122919735900155,66.4740375857007,9.786009416600015,786.4761277958033
,EKS - Cluster Hours,1.5070303610000002,0.29304374899999996,70.47611505500001,74.40000000000002,71.873614528,102.65949669300004,171.06315366500002,80.88945500100002,73.85913855500003,67.20000000000002,74.40000000000002,6.525686861000001,,795.1467344680003
,FSx - Backup,1468.830133215287,1485.4949670279418,1548.035546236016,1543.8235024200278,1588.766085244031,1306.2455191143495,998.0176352281909,1032.9722722998636,1063.2016089545702,1098.7043343508462,1130.977484228414,1168.1288276593673,146.56628240200908,15579.764198380914
,FSx - Data Transfer,2.1717003476,0.000358862,0.0002927079,0.0003027344,0.0002685547,0,0,0,0,0,0,0,0,2.1729232065999997
,FSx - Storage,4096.3656399327,4041.8702249499993,4195.740609284199,4217.0009888683,4345.85808398,4104.280225129499,3202.0355977132995,3232.5641298498,3262.4985288205994,3293.1013227346,3323.9265940266996,3355.8553752666994,425.5955194296,45096.69283998599
,FSx - Throughput,34736.4633971258,34687.42696846641,34826.2400003784,34826.2400003784,34826.24000037601,32727.206478223605,20160.000000000004,20160.0000000384,20160.000000038395,20159.9999999328,20160.000000038395,20160,2492.9032258112,330082.72007080785
,Glacier - Transfer,0.000015457,0.0000132667,0.000016038400000000002,0.000014457600000000002,0.0000119008,0.0000134333,0.000013395399999999999,0.000009114199999999998,,,,5.1899999999999995e-8,,0.0001071153
,Global Accelerator - Data Transfer,3.4692401115999996,3.0657875425,3.2508152107999995,3.9948501660999987,42.112788867499994,46.6127460142,39.830510562300006,40.081944261600015,40.207951903000016,38.26118017139998,46.330941815100005,42.72269497439999,2.3295292638999996,352.2709808644
,Global Accelerator - Fixed Fee,74.4,72.00000000000001,74.4,74.4,72.00000000000003,74.4,72.00000000000001,74.40000000000003,74.30000000000001,67.20000000000002,74.40000000000002,72.00000000000001,9.2,885.1
,Glue - Crawler,88.91657631999999,86.44629356000002,91.98723688000001,96.42935367999999,89.72754119999999,91.62296439999999,83.12783952,87.7078972,94.86913876,89.61984372,104.83699864,110.72472972000001,14.60648508,1130.6228986800002
,Glue - Job,7914.66698704,5869.4820646,6707.29205784,4045.28900424,5067.795343159999,3850.6745543200004,4029.83901804,3293.7729145199996,3064.27502612,3296.1577088000004,6176.759103119999,3238.2025016,276.3405334799999,56830.54681687999
,AWS Key Management Service,355.18678810399996,358.831767386,362.90950084000025,359.612031312,361.3765767494,361.1729606920002,361.8548553201998,362.7397537440001,366.27844676,369.44064397629995,359.6060795420002,346.84180254369994,42.51238123599998,4368.3635882056005
,Lambda - Compute,35.64124351369999,7.992500365300001,12.599310150000003,28.287221030500003,10.675689036100001,27.50569111159999,10.9237336403,13.683150321100001,11.212201194199997,10.499054586799998,12.051874782100004,15.469824738399996,0.0000096179,196.54150408799995
,Lambda - Request,1.2899582,1.1742444000000003,1.3364849999999997,1.4876588,1.229939,0.7459024000000002,0.6049778,0.670944,0.6918246000000001,0.6559698,0.7012516,0.5520394000000002,0.0210144,11.162209400000002
,QuickSight - Author,577.7096681759999,600.0000048000002,599.8709581439999,599.9999903999999,600.0000048000002,598.516119456,600.0000048000002,633.1612801919998,685.4516019359999,671.9999827968002,671.9999892479999,672.0000053760003,83.09677286399999,7593.806382988801
